,house_price_amsterdam,rental_agency_amsterdam,postcode_amsterdam,bedrooms_amsterdam,surface_amsterdam
0,2750.0,Out Amsterdam,1078JP,4,129
1,1350.0,Hevesta Bemiddeling,1055MR,1,37
2,2000.0,ViaDaan,1082TC,3,75
3,1700.0,Expats. Amsterdam Rentals ,1072NN,3,55
4,1400.0,Hoofdstad Makelaars,1106CW,3,75
5,2000.0,Alcoco.nl,1073EJ,3,95
6,1800.0,Alcoco.nl,1013MP,3,90
7,1450.0,Peter Bruin Makelaardij,1018NB,2,50
8,1100.0,Rappange Makelaardij,1057GM,2,55
9,1750.0,Rappange Makelaardij,1071BM,2,60
10,1750.0,Mid-stay Apartments,1092VE,2,70
11,2000.0,Mid-stay Apartments,1072LR,3,60
12,1850.0,Mid-stay Apartments,1095ME,3,95
13,1850.0,Mid-stay Apartments,1095ME,3,95
14,1800.0,Mid-stay Apartments,1095ME,3,95
15,1850.0,Mid-stay Apartments,1095ME,3,88
16,1750.0,Mid-stay Apartments,1012RN,2,43
17,1500.0,Heimstaden,1082EL,3,75
18,1750.0,Edens Makelaardij,1072KG,3,56
19,2200.0,Vastgoed Unie Makelaardij ,1095MB,4,119
20,1950.0,Vastgoed Unie Makelaardij ,1091EJ,3,102
21,5750.0,The Rental Agency Amsterdam,1017LK,5,204
22,2100.0,Kuijs Reinder Kakes Amsterdam,1012NE,3,118
23,1595.0,City Homes,1053LN,2,55
24,1750.0,City Homes,1097EL,3,85
25,1350.0,City Homes,1094LC,2,40
26,1875.0,City Homes,1078MA,4,94
27,1975.0,City Homes,1078DZ,3,90
28,1395.0,HousingNet,1052ER,2,35
29,1500.0,Your Home Makelaardij,1012PX,2,46
30,1900.0,Makelaarskantoor Carla van den Brink,1076VK,4,71
31,995.0,Domica Amsterdam,1016GB,1,35
32,2750.0,Out Amsterdam,1078JP,4,129
33,1350.0,Hevesta Bemiddeling,1055MR,1,37
34,7000.0,123Wonen Amsterdam,1015BT,4,240
35,1250.0,123Wonen Amsterdam,1096GJ,1,28
36,1250.0,Amsterdam Housing,1012AE,2,60
37,1600.0,Amsterdam Housing,1103TA,3,80
38,1550.0,BrinkBorgh Makelaardij,1074BS,2,43
39,1575.0,BrinkBorgh Makelaardij,1016GK,3,58
40,1650.0,BrinkBorgh Makelaardij,1017VR,3,52
41,1725.0,Amsterdam Beautiful Property Rental,1104DN,3,85
42,2150.0,Amsterdam Beautiful Property Rental,1016HC,2,68
43,1700.0,Amsterdam Beautiful Property Rental,1015CV,2,70
44,6000.0,Parker & Williams Real Estate Services,1016BB,5,290
45,1350.0,Interhouse verhuurmakelaars Amsterdam,1013SM,2,31
46,1375.0,Interhouse verhuurmakelaars Amsterdam,1061MJ,2,63
47,1395.0,Expathousing.com (Amsterdam) ,1016HG,3,60
48,2500.0,Expathousing.com (Amsterdam) ,1011MH,3,120
49,1250.0,Expathousing.com (Amsterdam) ,1069EV,3,100
50,1580.0,Grand Relocation,1079GS,3,46
51,1315.0,Grand Relocation,1068ZZ,4,81
52,1850.0,Grand Relocation,1012RV,3,95
53,1275.0,Grand Relocation,1024KM,3,85
54,1540.0,Grand Relocation,1068ZZ,4,124
55,1675.0,SPR Property,1013NJ,2,90
56,1675.0,SPR Property,1016KD,2,72
57,1250.0,SPR Property,1015HB,2,30
58,1800.0,Zen Home Rentals,1082JA,3,100
59,1750.0,LV Housing,1072HT,2,67
60,1400.0,Find your room,1053SB,2,60
61,1950.0,J.T.M.D. vastgoed beheer B.V.,1104TV,4,95
62,1750.0,AmsterHomes,1071XL,2,50
63,1800.0,NOORESTATE,1017AM,2,77
64,1350.0,Hevesta Bemiddeling,1055MR,1,37
