,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
0,2400.0,ViaDaan,3039CP,5,91
1,935.0,Rental Rotterdam,3061GT,2,50
2,600.0,Rental Rotterdam,3062GL,1,20
3,1500.0,Rental Rotterdam,3021ZA,3,76
4,1950.0,Tweelwonen.nl Rotterdam,3011TA,4,136
5,1250.0,Makelaardij Lankhuijzen b.v.,3061CZ,3,65
6,780.0,Rent an Apartment,3061AD,2,44
7,731.0,Rent an Apartment,3014HA,2,44
8,1295.0,Riva Rentals,3031AT,2,62
9,990.0,Interhouse verhuurmakelaars Rotterdam,3016AA,2,90
10,1395.0,Interhouse verhuurmakelaars Rotterdam,3039HE,3,77
11,1099.0,Woonstad Rotterdam,3063AT,3,68
12,1435.0,Woonstad Rotterdam,3012JX,3,92
13,430.0,Rotterdam Apartments,3082LC,1,14
14,650.0,Rotterdam Apartments,3065ED,1,19
15,1475.0,Rotterdam Apartments,3074HC,4,91
16,1495.0,Rotterdam Apartments,3011EW,3,96
17,525.0,Rotterdam Apartments,3021XW,1,17
18,1450.0,Rotterdam Apartments,3039LB,3,87
19,1895.0,Rotterdam Apartments,3022ZH,3,150
20,1050.0,Rotterdam Apartments,3024RR,2,65
21,1125.0,RE/MAX Totaal Makelaars,3085EG,3,85
22,2400.0,Stad en Land Makelaars,3011XW,3,104
23,1250.0,Kolpa Makelaars B.V.,3062VJ,3,101
24,1150.0,BenHousing,3038VK,2,55
25,900.0,123Wonen Rotterdam,3024BL,3,110
26,660.0,De Bloois Vastgoed,3081JZ,1,24
27,1035.0,Niya Vastgoed Beheer BV,3074HV,3,92
28,950.0,Vliegenthart Makelaardij,3023RW,2,50
29,1595.0,Vliegenthart Makelaardij,3051SE,3,85
30,740.0,Nationaal Grondbezit,3076CE,3,70
31,1700.0,Dop & Dop Consultancy,3089TE,3,109
32,1585.0,EHR Rotterdam ,3022BM,3,80
33,585.0,Max Suites,3063EL,1,15
34,585.0,Max Suites,3063EL,1,13
35,1750.0,Rental Rotterdam,3063BJ,4,85
36,1300.0,Rental Rotterdam,3012JE,2,63
37,1275.0,Rental Rotterdam,3014GJ,2,43
38,845.0,Max Property Rentals,3083TZ,3,52
39,1195.0,Max Property Rentals,3035RE,4,112
40,930.0,Rent an Apartment,3061MC,3,50
41,930.0,Rent an Apartment,3061MC,3,51
42,950.0,Riva Rentals,3083DJ,2,58
43,1495.0,Riva Rentals,3013CC,3,92
44,1450.0,Riva Rentals,3059LA,4,95
45,985.0,Riva Rentals,3038BM,2,60
46,840.0,Interhouse verhuurmakelaars Rotterdam,3081SW,2,45
47,1350.0,Interhouse verhuurmakelaars Rotterdam,3077ML,3,75
48,4600.0,Interhouse verhuurmakelaars Rotterdam,3072AP,3,150
49,1590.0,Woonstad Rotterdam,3034PL,2,167
50,2750.0,Rotterdam Apartments,3065RD,6,182
51,2000.0,Rotterdam Apartments,3011HC,3,75
52,1040.0,NederWoon verhuurmakelaars Nijmegen,3016BE,2,57
